id,outcome,serve,rally,hitpoint,speed,net.clearance,distance.from.sideline,depth,outside.sideline,outside.baseline,player.distance.travelled,player.impact.depth,player.impact.distance.from.center,player.depth,player.distance.from.center,previous.speed,previous.net.clearance,previous.distance.from.sideline,previous.depth,opponent.depth,opponent.distance.from.center,same.side,previous.hitpoint,previous.time.to.net,server.is.impact.player
5718,UE,1,4,B,35.52,-0.02,3.47,6.80,0,0,1.47,14.18,1.14,13.67,0.23,32.31,1.35,2.45,0.71,12.56,2.07,1,F,0.45,0
371,FE,2,4,B,33.38,1.11,2.54,2.61,0,1,2.31,12.74,4.63,12.64,2.32,34.06,0.76,0.58,3.86,12.35,5.11,0,B,0.43,0
7948,FE,1,23,B,22.32,-0.25,3.53,9.44,0,0,3.90,15.38,1.43,13.70,2.09,39.81,0.38,1.12,2.91,13.86,1.66,0,F,0.40,1
9312,UE,1,9,F,36.84,0.77,0.59,3.34,1,0,0.58,13.73,0.03,13.15,0.02,25.02,1.24,3.26,0.56,14.26,0.16,1,B,0.67,1
7667,W,1,4,B,35.54,0.12,0.92,5.50,0,0,2.33,15.20,1.76,14.13,0.32,36.79,0.17,1.43,3.95,11.37,1.11,0,F,0.34,0
9079,UE,1,10,B,39.01,0.35,0.49,3.26,1,0,0.80,13.15,0.69,13.89,1.00,29.99,0.49,2.08,5.01,13.42,2.03,1,F,0.53,0
2598,UE,1,7,B,34.59,1.23,3.08,1.22,0,1,2.62,14.13,2.62,14.04,0.01,34.15,0.20,1.65,5.73,12.25,1.10,0,F,0.41,1
7945,W,1,3,F,34.45,0.39,0.87,1.99,0,0,1.93,11.36,2.47,11.48,0.54,34.61,0.23,2.16,5.04,12.48,4.59,0,F,0.42,1
231,UE,2,11,F,21.83,0.54,0.49,0.35,0,1,3.07,6.65,0.94,8.89,1.17,32.49,0.49,2.22,5.74,15.80,2.89,0,V,0.58,1
327,W,1,20,F,45.38,0.27,1.31,5.12,0,0,4.84,8.50,1.37,13.30,0.77,18.34,4.35,3.40,4.25,13.73,1.69,1,F,1.23,0
7770,FE,1,9,F,33.44,2.63,0.62,4.15,1,1,4.02,16.68,2.85,15.52,1.00,35.65,0.41,0.59,2.33,10.32,2.83,0,F,0.31,1
416,UE,1,19,B,24.42,1.29,0.41,0.24,0,1,1.94,12.71,2.08,14.60,1.65,25.61,0.36,2.12,3.67,13.26,2.10,0,B,0.62,1
832,UE,2,9,B,38.17,0.26,0.93,2.92,1,0,1.71,13.18,3.09,13.26,1.39,33.39,0.23,1.79,6.94,15.11,3.37,0,F,0.56,1
336,UE,2,6,F,34.75,1.88,3.39,2.43,0,1,1.95,16.06,3.62,15.07,1.94,37.13,1.08,0.99,2.07,14.29,1.70,0,F,0.47,0
695,UE,2,5,F,37.32,1.13,0.76,0.72,0,1,2.85,13.46,2.82,13.31,0.03,35.64,0.54,1.75,4.54,14.82,2.35,1,F,0.48,1
1644,UE,1,7,U,36.98,-0.08,2.60,7.90,0,0,2.70,17.08,1.58,15.77,0.78,43.22,0.05,1.36,4.76,10.85,3.93,0,F,0.37,1
1202,UE,1,7,F,36.14,-0.02,2.54,7.41,0,0,3.49,13.02,1.40,13.23,2.08,35.77,0.13,2.92,7.03,15.02,0.71,1,F,0.50,1
3118,W,1,3,F,36.10,0.44,1.96,2.29,0,0,1.03,11.16,1.77,11.32,0.75,31.84,0.33,3.10,5.60,12.67,4.26,0,F,0.46,1
6659,W,1,7,F,8.29,0.12,2.24,10.17,0,0,1.16,3.53,0.19,4.11,0.82,27.07,0.52,2.64,8.91,13.71,2.26,1,V,0.65,1
953,W,1,5,F,13.84,0.84,0.85,6.54,0,0,2.75,4.16,1.30,5.72,0.96,27.82,0.75,1.67,8.01,11.42,3.18,0,V,0.46,1
7809,FE,2,12,F,40.90,0.49,0.16,4.24,1,0,2.17,15.66,4.75,15.13,2.65,38.96,0.86,0.34,2.84,13.42,3.12,0,F,0.41,0
