count,id,winner,forced.error,unforced.error,final.shot.won,server.is.impact.player,first.serve,rally,same.side,forehand,backhand,volley,speed,net.clearance,distance.from.sideline,depth,outside.sideline,outside.baseline,player.distance.travelled,player.impact.depth,player.impact.distance.from.center,player.depth,player.distance.from.center,previous.forehand,previous.backhand,previous.volley,previous.speed,previous.net.clearance,previous.distance.from.sideline,previous.depth,previous.time.to.net,opponent.depth,opponent.distance.from.center
1,3036,0,1,0,0,1,0,3,0,0,1,0,30.94,-0.18,1.99,7.83,0,0,1.17,12.42,1.53,11.96,0.46,0,1,0,29.93,0.35,3.27,5.73,0.47,12.31,4.08
2,1804,1,0,0,1,1,1,3,0,1,0,0,29.51,0.23,2.87,6.85,0,0,2.26,12.72,1.40,11.53,0.52,1,0,0,30.99,0.42,1.79,4.66,0.46,12.52,2.73
3,2727,0,1,0,0,1,1,5,0,0,1,0,30.85,0.22,2.03,6.57,0,0,2.89,12.69,3.05,13.29,0.22,0,1,0,27.11,0.44,1.81,6.38,0.65,15.24,1.42
4,1097,0,1,0,0,0,0,14,0,0,1,0,21.39,4.54,0.30,1.74,1,0,2.67,14.89,1.53,13.38,0.67,1,0,0,26.54,0.42,1.32,3.33,0.27,7.20,2.90
5,5576,1,0,0,1,1,1,3,0,0,1,0,33.23,0.64,0.60,1.51,0,0,4.52,7.62,1.27,11.25,1.41,1,0,0,15.00,1.35,1.16,8.29,1.06,12.07,4.55
6,3699,0,1,0,0,1,0,11,0,1,0,0,36.65,-0.24,2.05,8.14,0,0,2.40,13.79,1.83,13.18,0.49,0,1,0,32.33,0.49,1.30,3.07,0.47,12.90,2.25
7,3309,0,1,0,0,0,1,8,1,1,0,0,31.21,0.59,0.18,3.16,1,0,1.51,13.03,0.21,14.51,0.52,1,0,0,30.94,0.21,4.01,6.31,0.50,13.04,1.55
8,355,0,1,0,0,1,1,3,0,0,1,0,33.68,1.47,0.15,2.50,1,0,3.09,13.03,0.77,11.18,1.70,0,1,0,26.49,1.01,2.36,2.54,0.54,12.33,3.15
9,2590,0,1,0,0,1,1,5,0,0,1,0,33.22,0.39,1.51,3.73,1,0,2.58,14.11,2.98,13.85,0.42,0,1,0,34.64,0.82,1.42,2.27,0.47,13.46,2.59
10,6070,0,0,1,0,0,1,4,0,0,0,0,15.42,1.13,1.41,1.71,0,1,5.25,14.73,1.91,12.74,2.94,1,0,0,32.40,0.34,1.48,3.12,0.34,10.35,1.18
11,2138,0,1,0,0,0,0,10,0,0,1,0,34.84,1.12,1.92,1.22,0,1,0.93,13.92,0.71,13.43,1.51,0,1,0,34.05,0.41,3.65,3.26,0.45,12.97,3.00
12,2452,1,0,0,1,1,1,3,0,1,0,0,35.94,0.39,0.34,2.92,0,0,2.03,11.33,2.98,11.62,0.97,1,0,0,22.17,1.37,1.79,3.84,0.69,12.19,4.90
13,5349,0,1,0,0,1,1,7,0,0,1,0,33.24,-0.11,2.29,8.01,0,0,4.40,13.63,2.78,12.90,1.56,1,0,0,25.75,1.83,0.48,2.22,0.71,14.78,3.17
14,2042,0,1,0,0,0,0,10,0,1,0,0,27.41,0.64,1.72,5.39,1,0,2.33,14.53,3.00,14.35,0.68,1,0,0,36.47,0.87,1.03,1.04,0.43,13.44,2.75
15,3300,1,0,0,1,1,1,5,1,1,0,0,21.94,1.17,1.01,0.18,0,0,3.21,6.40,0.93,8.39,1.60,0,0,1,34.28,1.48,2.60,5.77,0.57,15.59,2.14
16,1937,1,0,0,1,0,1,6,0,1,0,0,37.80,0.32,1.65,6.11,0,0,3.76,7.59,0.69,10.39,1.81,0,0,1,19.58,3.66,2.55,4.72,1.01,13.62,3.03
17,1577,0,1,0,0,1,0,5,0,0,1,0,33.20,1.03,2.08,1.09,0,1,2.20,13.64,3.18,12.46,1.33,0,1,0,35.22,1.09,1.28,2.25,0.55,15.58,3.33
18,2987,1,0,0,1,1,1,3,0,1,0,0,34.67,0.73,0.17,2.47,0,0,1.44,12.63,0.09,11.43,0.72,0,1,0,26.12,0.92,2.32,4.15,0.55,12.37,3.78
19,11,0,1,0,0,0,0,4,1,0,1,0,31.46,-0.07,0.80,6.45,0,0,3.94,13.36,1.52,12.36,2.30,0,1,0,35.72,0.17,2.54,4.41,0.40,12.63,0.47
20,3305,1,0,0,1,1,0,13,0,0,0,0,17.64,1.10,1.60,6.06,0,0,0.75,4.07,0.23,4.48,0.40,0,0,1,18.61,1.60,3.60,8.17,0.54,8.54,3.64
21,747,0,1,0,0,0,0,4,0,1,0,0,33.70,0.67,0.24,0.38,1,0,1.87,12.51,0.03,12.36,1.90,0,1,0,31.58,0.26,2.88,4.39,0.48,12.94,1.48
22,3157,1,0,0,1,1,0,7,1,0,0,0,10.02,-0.95,0.08,7.49,0,0,8.36,3.43,2.89,11.57,1.02,0,0,0,15.61,2.03,1.56,7.84,1.39,14.30,2.16
23,4856,0,1,0,0,1,1,7,0,0,1,0,30.55,-0.28,2.09,8.54,0,0,3.24,13.27,3.71,13.31,0.47,0,1,0,32.03,0.89,1.01,3.55,0.53,14.00,3.08
24,5458,0,1,0,0,0,1,8,0,1,0,0,36.31,1.17,0.26,0.43,0,1,0.82,13.73,2.24,13.36,1.50,0,1,0,27.78,0.94,3.66,4.12,0.58,13.64,0.69
25,1865,0,1,0,0,1,0,3,0,1,0,0,18.48,0.64,0.43,8.51,1,0,0.91,13.12,2.32,12.43,1.74,1,0,0,35.11,0.67,1.88,2.73,0.38,11.64,3.58
26,5048,1,0,0,1,0,1,12,0,0,1,0,30.38,0.93,0.50,4.53,0,0,2.41,15.87,2.40,15.49,0.02,1,0,0,38.19,0.77,1.54,1.26,0.38,12.91,0.25
